motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
ADM, 2.2025e+17, 9.3868e-01, 90845, N, 5, 73919 145699 40577 18640 71050
AHE, 1.0125e+16, 4.3149e-02, 4176, N, 5, 52958 115668 106546 164554 12501
AHM, 2.3218e+15, 9.8953e-03, 2873, N, 15, 138548 96453 68321 141036 110345
BFI, 1.0959e+15, 4.6704e-03, 452, N, 5, 48918 119418 46550 49802 51651
BFM, 4.3156e+14, 1.8392e-03, 534, N, 15, 25728 24142 27807 64959 61743
APM, 1.7699e+14, 7.5429e-04, 584, N, 40, 77704 145931 51136 40604 110345
API, 1.5638e+14, 6.6646e-04, 258, N, 20, 105831 108054 39698 155127 139448
IFM, 4.2833e+13, 1.8254e-04, 53, N, 15, 139587 93566 52703 152477 110345
COM, 1.2425e+13, 5.2955e-05, 41, N, 40, 106549 54312 37818 167147 132936
BPM, 1.1516e+13, 4.9080e-05, 95, N, 100, 87657 80141 141078 60588 71050
BPI, 4.4449e+12, 1.8943e-05, 22, N, 60, 140994 39698 20093 21003 110345
CPM, 2.8791e+12, 1.2270e-05, 19, N, 80, 60808 127794 79010 152777 111372
JFM, 2.2041e+12, 9.3934e-06, 10, N, 55, 75052 28686 95400 64605 125642
IHM, 2.1551e+12, 9.1846e-06, 8, N, 45, 57711 89164 88541 98086 71050
EPM, 1.5009e+12, 6.3964e-06, 13, N, 105, 33868 59967 128194 137719 89069
MIM, 9.6979e+11, 4.1331e-06, 2, N, 25, 61862 94336 52703 49274 50837
DPM, 7.2735e+11, 3.0998e-06, 12, N, 200, 65924 129190 111944 71050 125642
MNM, 1.0102e+11, 4.3053e-07, 1, N, 120, 90650 111372 76278 106121 157298
HPM, 6.4653e+10, 2.7554e-07, 2, N, 375, 68865 146373 113048 61671 70207
