motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
ADM, 2.2144e+17, 9.3753e-01, 453589, N, 5, 150656 6695 40608 116043 61862
AHE, 1.0490e+16, 4.4412e-02, 21487, N, 5, 113524 166721 70694 162147 152296
AHM, 2.4049e+15, 1.0182e-02, 14778, N, 15, 93649 112479 140426 51508 123018
BFI, 1.0164e+15, 4.3033e-03, 2082, N, 5, 57798 37181 58308 90391 95914
BFM, 4.1139e+14, 1.7417e-03, 2528, N, 15, 143318 26097 139112 146356 13849
API, 1.7307e+14, 7.3272e-04, 1418, N, 20, 166260 121176 147085 128864 60588
APM, 1.7050e+14, 7.2187e-04, 2794, N, 40, 78082 49792 100496 60588 37818
IFM, 5.1749e+13, 2.1909e-04, 318, N, 15, 6389 148513 46111 39794 96802
COM, 1.0313e+13, 4.3664e-05, 169, N, 40, 67751 152001 7329 152296 149329
BPM, 1.0301e+13, 4.3612e-05, 422, N, 100, 46940 128203 98792 61862 125642
BPI, 4.6786e+12, 1.9808e-05, 115, N, 60, 33161 102796 80085 74656 163138
IHM, 2.7665e+12, 1.1713e-05, 51, N, 45, 126706 144728 73162 60588 86115
CPM, 2.2579e+12, 9.5595e-06, 74, N, 80, 7173 55163 120978 80521 32338
MIM, 2.2457e+12, 9.5078e-06, 23, N, 25, 24731 35358 86137 18087 93079
JFM, 2.0416e+12, 8.6435e-06, 46, N, 55, 17668 78367 164157 7612 102909
EPM, 1.2786e+12, 5.4134e-06, 55, N, 105, 161854 143076 89909 17395 104584
DPM, 3.4174e+11, 1.4468e-06, 28, N, 200, 118104 99369 131601 61862 34625
MNM, 3.2547e+11, 1.3779e-06, 16, N, 120, 157732 54063 61862 78167 77421
MPM, 3.2547e+10, 1.3779e-07, 3, N, 225, 133288 123018 130232 62799 92773
HPM, 1.3019e+10, 5.5118e-08, 2, N, 375, 47442 103891 56200 141001 120400
PPM, 7.8112e+09, 3.3071e-08, 2, N, 625, 90100 94791 125425 116166 149591
