motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
AADO, 1.2518e+21, 9.1845e-01, 870080, N, 6, 92288 41276 9270 72686 144509 61862
AAHK, 7.0249e+19, 5.1540e-02, 48826, N, 6, 27406 153992 69567 33534 165700 6250
AAHO, 1.8866e+19, 1.3841e-02, 39337, N, 18, 4723 113479 109136 26791 107498 125642
AAPE, 7.8456e+18, 5.7561e-03, 5453, N, 6, 101301 46528 105889 83411 11604 31982
AAPG, 4.0329e+18, 2.9588e-03, 8409, N, 18, 103539 131941 110203 28791 117105 125642
ACFK, 3.5422e+18, 2.5989e-03, 2462, N, 6, 53103 17340 78804 45281 125642 61862
AAPO, 1.3956e+18, 1.0239e-03, 7760, N, 48, 106986 13954 50388 73433 61862 71050
AIKG, 1.2906e+18, 9.4686e-04, 897, N, 6, 28509 99630 51656 68272 53444 111372
AAPM, 1.2683e+18, 9.3050e-04, 3526, N, 24, 56884 150395 61673 2637 63518 71050
ACNO, 4.9440e+17, 3.6273e-04, 2749, N, 48, 75120 45596 148947 4749 125642 110345
ACNM, 4.2552e+17, 3.1219e-04, 1183, N, 24, 66470 95713 125164 74972 108809 32338
CAGO, 3.9806e+17, 2.9205e-04, 830, N, 18, 123058 146654 80380 71473 108010 61862
AGJE, 2.8631e+17, 2.1006e-04, 199, N, 6, 57624 49342 113692 37185 10918 80128
ABPO, 2.4682e+17, 1.8109e-04, 3431, N, 120, 138980 35403 146173 98559 110345 32338
CCEO, 1.5011e+17, 1.1013e-04, 313, N, 18, 94988 111240 71445 86935 148905 64605
AHAO, 9.4959e+16, 6.9669e-05, 198, N, 18, 141484 63458 59669 8176 125642 118291
ABPM, 8.9084e+16, 6.5359e-05, 743, N, 72, 163121 117427 134296 119709 155127 123018
BBEO, 6.1867e+16, 4.5390e-05, 129, N, 18, 135356 26353 117875 73939 154915 9776
AIOO, 5.8990e+16, 4.3279e-05, 328, N, 48, 156590 149294 111110 125642 72974 53444
AGJG, 5.6472e+16, 4.1432e-05, 157, N, 24, 145733 55799 22887 121282 60588 107854
CAHO, 4.7959e+16, 3.5186e-05, 300, N, 54, 152646 50710 104638 60566 157697 42605
AEPG, 3.8487e+16, 2.8237e-05, 214, N, 48, 85642 55746 160612 52199 51716 71050
AHBM, 2.6377e+16, 1.9352e-05, 55, N, 18, 88317 24954 133427 56438 9028 53528
